,athlete_id,region,age,height,weight,pullups,experience,is_male,experience_level,diet,athletic_background,workout_schedule,BMI,total_lift
205,5675.0,Latin America,25.0,71.0,180.0,30.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,Recreational Sports,Single workout per day,25.102162269390995,1210.0
212,11684.0,North Central,37.0,69.0,180.0,37.0,Beginner with coach,1,Proficient,Normal Diet,Recreational Sports,Single workout per day,26.578449905482042,1185.0
215,13156.0,South West,28.0,70.0,187.0,40.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,26.828775510204082,1295.0
218,15791.0,Europe,33.0,74.0,203.0,20.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,Not Provided,Single workout per day,26.06081081081081,1157.0
224,18543.0,Europe,27.0,69.0,192.0,30.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,College or High School Sports,Multiple workouts per day,28.35034656584751,1345.0
228,19548.0,Europe,35.0,71.0,187.0,55.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,26.0783574687562,1235.0
231,21327.0,North Central,40.0,66.0,160.0,30.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,College or High School Sports,Single workout per day,25.821854912764003,950.0
233,22392.0,Northern California,23.0,70.0,150.0,65.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,21.520408163265305,1065.0
238,24943.0,Mid Atlantic,44.0,73.0,184.0,31.0,Beginner with coach,1,Expert,Normal Diet,College or High School Sports,Multiple workouts per day,24.273221992869207,1005.0
247,31296.0,North East,28.0,73.0,195.0,47.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,College or High School Sports,Single workout per day,25.724338525051603,1345.0
259,42594.0,South East,27.0,74.0,190.0,46.0,Beginner with coach,1,Proficient,Normal Diet,Recreational Sports,Single workout per day,24.39189189189189,1230.0
262,45307.0,North Central,29.0,68.0,165.0,32.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Multiple workouts per day,25.085423875432525,1100.0
271,55757.0,Canada West,44.0,70.0,226.0,5.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,32.42408163265306,1065.0
292,76049.0,North East,27.0,75.0,230.0,36.0,Advanced (Trainer/Courses),1,Not Provided,Normal Diet,College or High School Sports,Multiple workouts per day,28.744888888888887,1580.0
300,1868.0,Africa,27.0,73.0,195.0,64.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,25.724338525051603,1500.0
304,3066.0,North Central,31.0,72.0,215.0,50.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,Recreational Sports,Flexible,29.156057098765434,1401.0
309,10311.0,Northern California,42.0,68.0,160.0,40.0,Advanced (Trainer/Courses),1,Expert,Not Provided,College or High School Sports,Single workout per day,24.325259515570934,975.0
311,10806.0,Europe,36.0,66.0,197.0,42.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,College or High School Sports,Single workout per day,31.79315886134068,1202.0
314,12553.0,Central East,27.0,71.0,187.0,44.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,Recreational Sports,Multiple workouts per day,26.0783574687562,1190.0
315,14111.0,North Central,37.0,72.0,195.0,47.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,26.44386574074074,1296.0
320,17530.0,North West,33.0,69.0,175.0,45.0,Beginner with coach,1,Proficient,Normal Diet,Recreational Sports,Single workout per day,25.84015963032976,1125.0
324,20287.0,North East,27.0,66.0,167.0,68.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,College or High School Sports,Multiple workouts per day,26.951561065197428,1515.0
325,21139.0,Central East,33.0,70.0,195.0,24.0,Advanced (Trainer/Courses),1,Proficient,Not Provided,College or High School Sports,Single workout per day,27.976530612244897,1140.0
332,25515.0,Central East,34.0,70.0,195.0,41.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,Recreational Sports,Single workout per day,27.976530612244897,1025.0
338,28819.0,Latin America,18.0,72.0,181.0,58.0,Not Provided,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,24.545331790123456,1230.0
349,41519.0,Mid Atlantic,26.0,67.0,180.0,54.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,28.188906215192695,1475.0
365,53702.0,Mid Atlantic,34.0,70.0,217.0,25.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,Recreational Sports,Flexible,31.132857142857144,1270.0
366,54088.0,Africa,41.0,72.0,194.0,20.0,Beginner with coach,1,Proficient,Normal Diet,Recreational Sports,Single workout per day,26.308256172839506,1047.0
388,77373.0,Asia,29.0,66.0,147.0,40.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,College or High School Sports,Multiple workouts per day,23.72382920110193,1014.0
391,78985.0,South West,36.0,72.0,205.0,45.0,Beginner with coach,1,Expert,Normal Diet,College or High School Sports,Single workout per day,27.799961419753085,1265.0
401,4537.0,Northern California,32.0,70.0,210.0,60.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,Recreational Sports,Multiple workouts per day,30.12857142857143,1603.0
402,5169.0,Southern California,36.0,67.0,159.0,33.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,Recreational Sports,Single workout per day,24.900200490086878,992.0
405,5563.0,Latin America,26.0,68.0,168.0,30.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,College or High School Sports,Multiple workouts per day,25.541522491349482,1150.0
406,5933.0,Southern California,31.0,72.0,178.0,61.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,24.138503086419753,1250.0
411,12332.0,Northern California,30.0,68.0,187.0,45.0,Beginner without coach,1,Proficient,Normal Diet,College or High School Sports,Multiple workouts per day,28.43014705882353,1395.0
417,16043.0,Southern California,37.0,69.0,170.0,35.0,Advanced (Trainer/Courses),1,Proficient,Not Provided,College or High School Sports,Flexible,25.101869355177485,1205.0
418,17924.0,North West,33.0,68.0,165.0,30.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,25.085423875432525,1160.0
433,33079.0,Europe,33.0,69.0,183.0,67.0,Beginner without coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,27.02142407057341,1308.0
436,34672.0,Southern California,41.0,66.0,163.0,39.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,Recreational Sports,Single workout per day,26.30601469237833,800.0
440,35037.0,North East,34.0,72.0,205.0,20.0,Beginner with coach,1,Proficient,Normal Diet,Recreational Sports,Single workout per day,27.799961419753085,1275.0
441,36966.0,Europe,20.0,72.0,193.0,60.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,26.172646604938272,1268.0
448,38580.0,Latin America,32.0,69.0,180.0,50.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,Professional Sports,Single workout per day,26.578449905482042,1260.0
456,41311.0,South East,28.0,71.0,165.0,50.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,23.01031541360841,1165.0
462,44993.0,Mid Atlantic,40.0,70.0,172.0,30.0,Advanced (Trainer/Courses),1,Expert,Not Provided,Recreational Sports,Single workout per day,24.676734693877552,1020.0
463,45315.0,Mid Atlantic,29.0,72.0,220.0,28.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,29.834104938271604,1475.0
470,48794.0,North East,29.0,72.0,189.0,34.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,Recreational Sports,Single workout per day,25.630208333333332,1030.0
471,49606.0,North Central,32.0,74.0,218.0,45.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,Professional Sports,Not Provided,27.986486486486488,1704.0
472,53071.0,Southern California,35.0,68.0,190.0,25.0,Beginner with coach,1,Amateur,Normal Diet,College or High School Sports,Single workout per day,28.886245674740483,990.0
481,60526.0,Southern California,25.0,70.0,195.0,55.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,27.976530612244897,1540.0
491,69633.0,Latin America,33.0,67.0,186.0,21.0,Beginner without coach,1,Amateur,Normal Diet,College or High School Sports,Single workout per day,29.128536422365784,1055.0
500,1819.0,North Central,28.0,72.0,210.0,60.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,College or High School Sports,Multiple workouts per day,28.47800925925926,1625.0
504,2790.0,South East,38.0,69.0,200.0,24.0,Beginner with coach,1,Proficient,Normal Diet,Recreational Sports,Single workout per day,29.531611006091158,1090.0
512,8198.0,Central East,38.0,77.0,195.0,30.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,Recreational Sports,Multiple workouts per day,23.12109967954124,1100.0
517,10111.0,North Central,42.0,69.0,157.0,20.0,Beginner with coach,1,Proficient,Normal Diet,Not Provided,Single workout per day,23.18231463978156,910.0
523,13854.0,South Central,30.0,75.0,220.0,50.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,College or High School Sports,Multiple workouts per day,27.49511111111111,1505.0
531,20220.0,North West,47.0,69.0,215.0,12.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,Recreational Sports,Single workout per day,31.746481831547992,1065.0
541,26103.0,North Central,26.0,71.0,195.0,55.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,Recreational Sports,Multiple workouts per day,27.194009125173576,1385.0
546,33544.0,Canada East,43.0,71.0,215.0,19.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,29.983138266217022,1450.0
577,64206.0,Northern California,34.0,72.0,170.0,21.0,Beginner with coach,1,Expert,Normal Diet,Recreational Sports,Single workout per day,23.053626543209877,750.0
579,66294.0,North West,29.0,72.0,170.0,30.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,23.053626543209877,1020.0
600,2004.0,Southern California,30.0,74.0,215.0,50.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,Recreational Sports,Multiple workouts per day,27.60135135135135,1540.0
604,4182.0,Europe,36.0,67.0,162.0,35.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,Recreational Sports,Single workout per day,25.370015593673426,1014.0
607,5744.0,Africa,24.0,70.0,159.0,62.0,Advanced (Trainer/Courses),1,Not Provided,Normal Diet,Recreational Sports,Multiple workouts per day,22.811632653061224,1210.0
614,7946.0,Northern California,34.0,73.0,213.0,48.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,Recreational Sports,Multiple workouts per day,28.098892850440983,1160.0
615,8476.0,North West,28.0,74.0,189.0,50.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,College or High School Sports,Single workout per day,24.263513513513512,1310.0
620,11659.0,North Central,34.0,68.0,177.0,22.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,26.909818339100347,1055.0
627,18762.0,Latin America,22.0,69.0,160.0,35.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,23.625288804872927,1205.0
629,19213.0,South Central,28.0,68.0,172.0,45.0,Beginner with coach,1,Expert,Normal Diet,Recreational Sports,Flexible,26.149653979238753,1335.0
643,32121.0,Mid Atlantic,45.0,67.0,170.0,65.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,26.62285586990421,1210.0
647,36812.0,Latin America,22.0,67.0,154.0,50.0,Beginner with coach,1,Proficient,Normal Diet,Recreational Sports,Flexible,24.117175317442637,1246.0
662,54787.0,Central East,28.0,69.0,173.0,50.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,Recreational Sports,Multiple workouts per day,25.544843520268852,1285.0
666,58012.0,Mid Atlantic,30.0,72.0,200.0,50.0,Not Provided,1,Expert,Normal Diet,Not Provided,Not Provided,27.121913580246915,1390.0
682,73346.0,South Central,36.0,67.0,195.0,32.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,30.537981733125417,1305.0
710,10598.0,Mid Atlantic,35.0,71.0,194.0,42.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,Recreational Sports,Multiple workouts per day,27.054552668121403,1350.0
712,12882.0,Mid Atlantic,29.0,72.0,185.0,61.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,Recreational Sports,Single workout per day,25.087770061728396,1215.0
718,17353.0,South Central,35.0,75.0,205.0,35.0,Beginner with coach,1,Expert,Normal Diet,Recreational Sports,Single workout per day,25.620444444444445,1215.0
719,18763.0,Canada East,42.0,67.0,165.0,62.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,Recreational Sports,Multiple workouts per day,25.83983069725997,1215.0
720,19269.0,North West,22.0,67.0,160.0,73.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,Recreational Sports,Not Provided,25.056805524615726,1345.0
721,19402.0,North West,44.0,69.0,180.0,39.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,Recreational Sports,Single workout per day,26.578449905482042,1340.0
726,23685.0,North Central,29.0,72.0,200.0,36.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,College or High School Sports,Single workout per day,27.121913580246915,1510.0
736,28739.0,Northern California,36.0,77.0,306.0,22.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,College or High School Sports,Single workout per day,36.28234103558779,1190.0
739,31876.0,Europe,39.0,72.0,209.0,33.0,Beginner with coach,1,Proficient,Normal Diet,Recreational Sports,Multiple workouts per day,28.342399691358025,1356.0
778,62928.0,South West,27.0,71.0,195.0,38.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,27.194009125173576,1165.0
785,69783.0,Northern California,38.0,66.0,201.0,20.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,Recreational Sports,Multiple workouts per day,32.43870523415978,1185.0
801,2272.0,North Central,33.0,72.0,205.0,53.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,Recreational Sports,Multiple workouts per day,27.799961419753085,1315.0
816,11935.0,North East,29.0,72.0,190.0,30.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,Recreational Sports,Not Provided,25.765817901234566,1432.0
817,11953.0,South West,37.0,70.0,205.0,43.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,College or High School Sports,Single workout per day,29.41122448979592,1430.0
835,22938.0,Northern California,34.0,72.0,172.0,42.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,23.324845679012345,1185.0
853,40568.0,North East,27.0,68.0,175.0,56.0,Advanced (Trainer/Courses),1,Not Provided,Normal Diet,College or High School Sports,Single workout per day,26.60575259515571,1500.0
876,63183.0,Southern California,28.0,67.0,175.0,41.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,College or High School Sports,Single workout per day,27.40588104254845,1120.0
888,71317.0,Latin America,28.0,66.0,160.0,30.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,25.821854912764003,1140.0
900,1833.0,Mid Atlantic,33.0,70.0,185.0,25.0,Beginner without coach,1,Expert,Not Provided,Recreational Sports,Multiple workouts per day,26.541836734693877,1258.0
903,5125.0,South West,41.0,68.0,168.0,27.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,25.541522491349482,1230.0
905,6982.0,North East,40.0,74.0,205.0,41.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,Recreational Sports,Single workout per day,26.31756756756757,1342.0
907,8289.0,South Central,33.0,74.0,212.0,40.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,Recreational Sports,Multiple workouts per day,27.216216216216218,1300.0
916,13462.0,South Central,25.0,67.0,170.0,56.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,College or High School Sports,Multiple workouts per day,26.62285586990421,1390.0
917,13551.0,Africa,31.0,73.0,185.0,31.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,Recreational Sports,Single workout per day,24.40514167761306,1252.0
929,20584.0,South Central,32.0,70.0,185.0,44.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,Recreational Sports,Flexible,26.541836734693877,1260.0
975,60838.0,Australia,44.0,72.0,202.0,28.0,Beginner with coach,1,Proficient,Normal Diet,Not Provided,Single workout per day,27.393132716049383,1223.0
976,62130.0,Mid Atlantic,36.0,68.0,161.0,44.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,24.47729238754325,1050.0
982,67440.0,Northern California,35.0,70.0,160.0,30.0,Beginner without coach,1,Expert,Normal Diet,Recreational Sports,Single workout per day,22.955102040816328,810.0
1002,3985.0,South Central,28.0,68.0,195.0,60.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,Recreational Sports,Single workout per day,29.646410034602077,1200.0
1004,5461.0,North East,32.0,69.0,180.0,50.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,College or High School Sports,Flexible,26.578449905482042,1440.0
1007,6696.0,North East,27.0,66.0,183.0,50.0,Beginner with coach,1,Proficient,Normal Diet,Recreational Sports,Multiple workouts per day,29.53374655647383,1490.0
1008,7585.0,North East,27.0,67.0,175.0,60.0,Advanced (Trainer/Courses),1,Proficient,Not Provided,College or High School Sports,Single workout per day,27.40588104254845,1315.0
1009,7820.0,Asia,32.0,69.0,180.0,27.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,Recreational Sports,Single workout per day,26.578449905482042,1015.0
1010,8268.0,South Central,31.0,69.0,188.0,42.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,College or High School Sports,Multiple workouts per day,27.759714345725687,1465.0
1020,16865.0,North Central,32.0,72.0,175.0,48.0,Beginner with coach,1,Proficient,Normal Diet,College or High School Sports,Single workout per day,23.73167438271605,1135.0
1027,19599.0,South West,20.0,66.0,185.0,61.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,Recreational Sports,Single workout per day,29.85651974288338,1370.0
1028,20070.0,Canada East,38.0,70.0,175.0,38.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,Recreational Sports,Multiple workouts per day,25.107142857142858,1060.0
1032,22296.0,South East,32.0,78.0,225.0,53.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,College or High School Sports,Single workout per day,25.99852071005917,1165.0
1063,51138.0,Central East,37.0,68.0,198.0,38.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,30.10250865051903,1220.0
1070,56454.0,Mid Atlantic,20.0,70.0,184.0,32.0,Beginner without coach,1,Proficient,Normal Diet,College or High School Sports,Single workout per day,26.398367346938777,1205.0
1077,62980.0,Canada East,31.0,70.0,178.0,20.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,25.537551020408163,1159.0
1082,66862.0,Canada West,35.0,73.0,170.0,41.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,Professional Sports,Multiple workouts per day,22.426346406455245,1050.0
1088,71817.0,North Central,34.0,72.0,220.0,31.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,College or High School Sports,Single workout per day,29.834104938271604,1310.0
1102,8261.0,South Central,29.0,70.0,180.0,58.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,College or High School Sports,Multiple workouts per day,25.824489795918367,1145.0
1111,13096.0,Europe,46.0,74.0,220.0,36.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,28.243243243243242,1237.0
1115,14839.0,Mid Atlantic,33.0,70.0,185.0,46.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,26.541836734693877,1375.0
1117,15636.0,Southern California,37.0,67.0,170.0,22.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,26.62285586990421,920.0
1118,16161.0,Australia,30.0,74.0,203.0,50.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,College or High School Sports,Single workout per day,26.06081081081081,1336.0
1125,20741.0,North East,28.0,71.0,205.0,35.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,College or High School Sports,Single workout per day,28.5885736956953,1530.0
1131,27315.0,Europe,30.0,68.0,163.0,74.0,Advanced (Trainer/Courses),1,Expert,Not Provided,Not Provided,Not Provided,24.781358131487888,1250.0
1140,32910.0,Northern California,42.0,71.0,192.0,33.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,Recreational Sports,Single workout per day,26.77563975401706,1180.0
1153,40785.0,South Central,26.0,67.0,155.0,45.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,24.273780351971485,1130.0
1183,69187.0,South East,41.0,74.0,205.0,29.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,Recreational Sports,Flexible,26.31756756756757,1260.0
1203,11125.0,Canada East,33.0,68.0,192.0,35.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,Recreational Sports,Multiple workouts per day,29.19031141868512,1195.0
1204,12210.0,North East,45.0,68.0,165.0,35.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,25.085423875432525,1110.0
1214,17456.0,North East,37.0,67.0,184.0,21.0,Advanced (Trainer/Courses),1,Proficient,Not Provided,College or High School Sports,Single workout per day,28.815326353308087,900.0
1216,19661.0,Europe,30.0,71.0,190.0,40.0,Beginner with coach,1,Expert,Normal Diet,College or High School Sports,Single workout per day,26.496726839912714,1374.0
1236,32313.0,Latin America,35.0,74.0,198.0,42.0,Beginner without coach,1,Amateur,Normal Diet,Professional Sports,Multiple workouts per day,25.41891891891892,1290.0
1260,48828.0,South Central,36.0,74.0,178.0,33.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,Recreational Sports,Single workout per day,22.85135135135135,1085.0
1295,78029.0,Asia,31.0,68.0,165.0,42.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,Recreational Sports,Single workout per day,25.085423875432525,1125.0
1300,1878.0,Southern California,28.0,70.0,179.0,45.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,Recreational Sports,Multiple workouts per day,25.681020408163267,1430.0
1301,1973.0,North West,23.0,69.0,195.0,5.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,Recreational Sports,Multiple workouts per day,28.793320730938877,1060.0
1302,2121.0,Australia,42.0,71.0,80.0,54.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,11.156516564173774,1235.0
1324,19296.0,Southern California,32.0,70.0,172.0,47.0,Advanced (Trainer/Courses),1,Proficient,Not Provided,College or High School Sports,Single workout per day,24.676734693877552,1240.0
1326,24088.0,Canada West,35.0,72.0,187.0,50.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,Recreational Sports,Multiple workouts per day,25.358989197530864,1195.0
1327,24116.0,North Central,34.0,68.0,174.0,21.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,26.45371972318339,1220.0
1334,28372.0,South Central,30.0,75.0,195.0,45.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,24.370666666666665,1145.0
1352,38467.0,South Central,26.0,70.0,165.0,60.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,Recreational Sports,Single workout per day,23.672448979591838,1326.0
1354,38939.0,North West,28.0,70.0,165.0,52.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,23.672448979591838,1055.0
1380,63099.0,South West,27.0,70.0,185.0,40.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,26.541836734693877,1245.0
1381,63781.0,South Central,40.0,72.0,205.0,52.0,Advanced (Trainer/Courses),1,Expert,Not Provided,Not Provided,Not Provided,27.799961419753085,1195.0
1383,65385.0,Central East,36.0,70.0,190.0,53.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,27.259183673469387,1150.0
1386,68745.0,Europe,31.0,67.0,179.0,45.0,Beginner with coach,1,Proficient,Normal Diet,College or High School Sports,Multiple workouts per day,28.032301180663843,1280.0
1392,72428.0,Southern California,36.0,69.0,180.0,20.0,Beginner with coach,1,Proficient,Normal Diet,Recreational Sports,Single workout per day,26.578449905482042,900.0
1393,72780.0,North East,44.0,70.0,154.0,37.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,22.094285714285714,905.0
1400,2131.0,Europe,37.0,70.0,165.0,74.0,Beginner without coach,1,Proficient,Normal Diet,Professional Sports,Flexible,23.672448979591838,1206.0
1407,6966.0,Northern California,36.0,72.0,198.0,50.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,26.850694444444443,1345.0
